WKT,cadmium,copper,lead,zinc,elev,dist,om,ffreq,soil,lime,landuse,dist.m
"POINT (179140 330955)",3.9,47,268,703,5.76,0.0756869,7,1,1,1,Ab,80
"POINT (179128 330867)",3.5,46,252,676,6.48,0.12481,6.2,1,1,1,Ab,130
"POINT (179065 330864)",4.7,55,315,793,6.48,0.103024,6.5,1,1,0,W,110
"POINT (179007 330727)",3.9,49,260,685,6.32,0.157469,5.7,1,1,0,W,200
"POINT (179110 330758)",3.1,39,237,593,6.32,0.200976,7,1,1,1,Ah,260
"POINT (179032 330645)",2.9,45,228,549,6.16,0.200976,7.3,1,1,0,W,270
"POINT (179095 330636)",3.9,48,241,680,6.56,0.26622,8.2,1,1,0,W,320
"POINT (179058 330510)",2.7,36,201,539,6.9,0.298835,4.3,1,1,0,Ah,360
"POINT (178810 330666)",2.5,36,204,560,7.54,0.0812247,4.4,1,1,1,Am,80
"POINT (178912 330779)",5.6,68,429,1136,6.42,0.070355,8.2,1,1,1,W,100
"POINT (178981 330924)",9.4,88,462,1383,6.28,0.0122243,8.5,1,1,1,W,70
"POINT (179076 331005)",10.8,85,333,1161,6.34,0,9.6,1,1,1,W,20
"POINT (180151 330353)",18.1,76,464,1672,7.307,0.0537723,17,1,1,1,W,50
"POINT (179211 331175)",6.3,63,159,765,5.7,0.0593662,12.8,1,1,1,W,80
"POINT (181118 333214)",2.1,32,116,279,7.72,0.211843,5.9,1,2,0,W,290
"POINT (179474 331304)",1.8,25,81,241,7.932,0.12481,2.9,2,2,1,Ah,160
"POINT (179559 331423)",2.2,27,131,317,7.82,0.12481,4.5,2,1,0,W,160
"POINT (179022 330873)",2.8,36,216,545,8.575,0.0921516,10.7,2,1,0,W,140
"POINT (178953 330742)",2.4,41,145,505,8.536,0.113941,9.4,2,1,0,W,150
"POINT (178875 330516)",2.6,33,163,420,8.504,0.179216,9,2,1,0,Ah,220
"POINT (178803 330349)",1.8,27,129,332,8.659,0.233596,7,2,1,0,Am,280
"POINT (179029 330394)",2,38,148,400,7.633,0.336861,6.5,2,1,1,Am,450
"POINT (178605 330406)",2.7,37,214,553,8.538,0.070355,9.4,2,1,1,Am,70
"POINT (178701 330557)",2.7,34,226,577,7.68,0.0593662,10.2,2,1,0,Am,70
"POINT (179547 330245)",0.9,19,54,155,7.564,0.255341,6.4,2,1,0,W,340
"POINT (179301 330179)",0.9,22,70,224,7.76,0.364067,7.6,2,1,0,W,470
"POINT (179405 330567)",0.4,26,73,180,7.653,0.429295,7,2,1,0,Am,630
"POINT (179462 330766)",0.8,25,87,226,7.951,0.380328,5.6,2,1,0,Am,460
"POINT (179293 330797)",0.4,22,76,186,8.176,0.249874,6.5,2,1,0,Am,320
"POINT (179180 330710)",0.4,24,81,198,8.468,0.266212,6.6,2,1,0,Ah,320
"POINT (179206 330398)",0.4,18,68,187,8.41,0.451037,5.9,2,1,0,W,540
"POINT (179618 330458)",0.8,23,66,199,7.61,0.30971,6.5,2,1,0,W,420
"POINT (179782 330540)",0.4,22,49,157,7.792,0.293359,6.4,2,1,0,SPO,380
"POINT (179980 330773)",0.4,23,63,203,8.76,0.532351,7.2,2,2,0,W,500
"POINT (180067 331185)",0.4,23,48,143,9.879,0.619513,6.6,2,3,0,Am,760
"POINT (180162 331387)",0.2,23,51,136,9.097,0.684725,4.3,2,2,0,Ah,750
"POINT (180451 331473)",0.2,18,50,117,9.095,0.809742,5.3,2,3,0,Fw,1000
"POINT (180328 331158)",0.4,20,39,113,9.717,0.880389,4.1,2,3,0,Ah,860
"POINT (180276 330963)",0.2,22,48,130,9.924,0.749591,6.1,2,3,0,Ah,680
"POINT (180114 330803)",0.2,27,64,192,9.404,0.575752,7.5,2,3,0,Fw,500
"POINT (179881 330912)",0.4,25,84,240,10.52,0.581484,8.8,2,3,0,STA,650
"POINT (179774 330921)",0.2,30,67,221,8.84,0.49452,5.7,2,3,0,DEN,630
"POINT (179657 331150)",0.2,23,49,140,8.472,0.32058,6.1,2,3,0,Fw,410
"POINT (179731 331245)",0.2,24,48,128,9.634,0.336851,7.1,2,3,0,Ah,390
"POINT (179717 331441)",0.2,21,56,166,9.206,0.249852,4.1,2,2,0,Ah,310
"POINT (179446 331422)",0.2,24,65,191,8.47,0.0756869,6,2,1,0,Ah,70
"POINT (179524 331565)",0.2,21,84,232,8.463,0.0756869,6.6,2,1,0,W,70
"POINT (179644 331730)",0.2,23,75,203,9.691,0.162853,6.8,2,1,1,STA,150
"POINT (180321 330366)",3.7,53,250,722,8.704,0.0974916,9.1,2,2,0,Bw,80
"POINT (180162 331837)",0.2,33,81,210,9.42,0.440142,5.9,2,2,0,Ah,450
"POINT (180029 331720)",0.2,22,72,198,9.573,0.4619,4.9,2,2,0,Aa,530
"POINT (179797 331919)",0.2,23,86,139,9.555,0.222701,7.1,2,1,0,W,240
"POINT (179642 331955)",0.2,25,94,253,8.779,0.103024,8.1,2,1,1,Tv,70
"POINT (179849 332142)",1.2,30,244,703,8.54,0.0921353,8.3,2,1,0,Fw,70
"POINT (180265 332297)",2.4,47,297,832,8.809,0.0484884,10,2,1,0,Ah,60
"POINT (180107 332101)",0.2,31,96,262,9.523,0.168331,5.9,2,1,0,Ah,190
"POINT (180462 331947)",0.2,20,56,142,9.811,0.38581,5,2,2,0,Ah,450
"POINT (180478 331822)",0.2,16,49,119,9.604,0.489064,4.5,2,2,0,Am,550
"POINT (180347 331700)",0.2,17,50,152,9.732,0.57602,5.4,2,2,0,Am,650
"POINT (180862 333116)",0.4,26,148,415,9.518,0.0812194,2.3,2,1,0,Am,100
"POINT (180700 332882)",1.6,34,162,474,9.72,0.0373369,7.5,2,1,0,W,170
"POINT (180201 331160)",0.8,18,37,126,9.036,0.771698,4.6,2,3,1,Ah,860
"POINT (180173 331923)",1.2,23,80,210,9.528,0.336829,5.8,2,2,0,W,410
"POINT (180923 332874)",0.2,20,80,220,9.155,0.228123,4.4,3,1,0,Aa,290
"POINT (180467 331694)",0.2,14,49,133,10.08,0.597761,4.4,3,2,0,Am,680
"POINT (179917 331325)",0.8,46,42,141,9.97,0.44558,4.5,3,2,0,Am,540
"POINT (179822 331242)",1,29,48,158,10.136,0.396675,5.2,3,2,0,Am,480
"POINT (179991 331069)",0.8,19,41,129,10.32,0.581478,4.6,3,3,0,W,720
"POINT (179120 330578)",1.2,31,73,206,9.041,0.287966,6.9,3,1,0,W,380
"POINT (179034 330561)",2,27,146,451,7.86,0.233596,7,3,1,0,W,310
"POINT (179085 330433)",1.5,29,95,296,8.741,0.364067,5.4,3,1,0,Ah,430
"POINT (179236 330046)",1.1,22,72,189,7.822,0.331454,6.2,3,1,0,Ah,370
"POINT (179456 330072)",0.8,20,51,154,7.78,0.211846,5,3,1,0,Fw,290
"POINT (179550 329940)",0.8,20,54,169,8.121,0.103029,5.1,3,1,0,W,150
"POINT (179445 329807)",2.1,29,136,403,8.231,0.070355,8.1,3,1,0,Bw,70
"POINT (179337 329870)",2.5,38,170,471,8.351,0.146576,8,3,1,0,Bw,220
"POINT (179245 329714)",3.8,39,179,612,7.3,0.0537723,8.8,3,1,0,W,80
"POINT (179024 329733)",3.2,35,200,601,7.536,0.119286,9.3,3,1,0,W,120
"POINT (178786 329822)",3.1,42,258,783,7.706,0.0921435,8.4,3,1,0,Ah,120
"POINT (179135 329890)",1.5,24,93,258,8.07,0.249863,7.7,3,1,0,Am,260
"POINT (179030 330082)",1.2,20,68,214,8.226,0.37494,5.7,3,1,0,Ah,440
"POINT (179184 330182)",0.8,20,49,166,8.128,0.423837,4.7,3,1,0,Am,540
"POINT (179085 330292)",3.1,39,173,496,8.577,0.423837,9.1,3,1,0,Ah,520
"POINT (178875 330311)",2.1,31,119,342,8.429,0.27709,6.5,3,1,0,Ah,350
"POINT (179466 330381)",0.8,21,51,162,9.406,0.358606,5.7,3,1,0,W,460
"POINT (180627 330190)",2.7,27,124,375,8.261,0.0122243,5.5,3,3,0,W,40
